dataset,classifier,metric,experimento,experimento_num,valor,author
Car Evaluation,decision_tree,accuracy,v1,1,0.976878612716763,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v2,2,0.976878612716763,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v3,3,0.976878612716763,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v4,4,0.976878612716763,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v5,5,0.976878612716763,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v6,6,0.96242774566474,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v7,7,0.96242774566474,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v8,8,0.96242774566474,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v9,9,0.96242774566474,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v10,10,0.96242774566474,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v11,11,0.9826589595375722,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v12,12,0.9826589595375722,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v13,13,0.9826589595375722,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v14,14,0.9826589595375722,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v15,15,0.9826589595375722,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v16,16,0.9682080924855492,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v17,17,0.9682080924855492,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v18,18,0.9682080924855492,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v19,19,0.9682080924855492,vitor-oliveira
Car Evaluation,decision_tree,accuracy,v20,20,0.9682080924855492,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v1,1,0.9855072463768116,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v2,2,0.9855072463768116,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v3,3,0.9855072463768116,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v4,4,0.9855072463768116,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v5,5,0.9855072463768116,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v6,6,0.9323308270676692,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v7,7,0.9323308270676692,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v8,8,0.9323308270676692,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v9,9,0.9323308270676692,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v10,10,0.9323308270676692,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v11,11,0.9746835443037974,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v12,12,0.9746835443037974,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v13,13,0.9746835443037974,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v14,14,0.9746835443037974,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v15,15,0.9746835443037974,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v16,16,0.9759036144578312,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v17,17,0.9759036144578312,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v18,18,0.9759036144578312,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v19,19,0.9759036144578312,vitor-oliveira
Car Evaluation,decision_tree,f1_score,v20,20,0.9759036144578312,vitor-oliveira
Car Evaluation,knn,accuracy,v1,1,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v2,2,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v3,3,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v4,4,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v5,5,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v6,6,0.8815028901734104,vitor-oliveira
Car Evaluation,knn,accuracy,v7,7,0.8815028901734104,vitor-oliveira
Car Evaluation,knn,accuracy,v8,8,0.8815028901734104,vitor-oliveira
Car Evaluation,knn,accuracy,v9,9,0.8815028901734104,vitor-oliveira
Car Evaluation,knn,accuracy,v10,10,0.8815028901734104,vitor-oliveira
Car Evaluation,knn,accuracy,v11,11,0.9190751445086706,vitor-oliveira
Car Evaluation,knn,accuracy,v12,12,0.9190751445086706,vitor-oliveira
Car Evaluation,knn,accuracy,v13,13,0.9190751445086706,vitor-oliveira
Car Evaluation,knn,accuracy,v14,14,0.9190751445086706,vitor-oliveira
Car Evaluation,knn,accuracy,v15,15,0.9190751445086706,vitor-oliveira
Car Evaluation,knn,accuracy,v16,16,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v17,17,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v18,18,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v19,19,0.9132947976878611,vitor-oliveira
Car Evaluation,knn,accuracy,v20,20,0.9132947976878611,vitor-oliveira
