dataset,classifier,metric,experimento,experimento_num,valor,author
iris,naive_bayes,f1_score,v3,3,1.0,pablo-v2
iris,naive_bayes,f1_score,v3,3,0.4736842105263157,gustavo--cruz-v2
iris,naive_bayes,f1_score,v4,4,0.9333333333333332,pablo-v2
iris,naive_bayes,f1_score,v4,4,0.9657142857142856,gustavo--cruz-v2
iris,naive_bayes,f1_score,v5,5,0.8976982097186701,pablo-v2
iris,naive_bayes,f1_score,v5,5,0.6470588235294118,gustavo--cruz-v2
iris,naive_bayes,f1_score,v6,6,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v6,6,1.0,gustavo--cruz-v2
iris,naive_bayes,f1_score,v7,7,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v7,7,0.4736842105263157,gustavo--cruz-v2
iris,naive_bayes,f1_score,v8,8,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v8,8,0.9657142857142856,gustavo--cruz-v2
iris,naive_bayes,f1_score,v9,9,1.0,pablo-v2
iris,naive_bayes,f1_score,v9,9,0.6470588235294118,gustavo--cruz-v2
iris,naive_bayes,f1_score,v10,10,0.899749373433584,pablo-v2
iris,naive_bayes,f1_score,v10,10,1.0,gustavo--cruz-v2
iris,naive_bayes,f1_score,v11,11,1.0,pablo-v2
iris,naive_bayes,f1_score,v11,11,0.4736842105263157,gustavo--cruz-v2
iris,naive_bayes,f1_score,v12,12,0.9333333333333332,pablo-v2
iris,naive_bayes,f1_score,v12,12,0.9657142857142856,gustavo--cruz-v2
iris,naive_bayes,f1_score,v13,13,0.9326599326599326,pablo-v2
iris,naive_bayes,f1_score,v13,13,0.6470588235294118,gustavo--cruz-v2
iris,naive_bayes,f1_score,v14,14,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v14,14,1.0,gustavo--cruz-v2
iris,naive_bayes,f1_score,v15,15,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v15,15,0.4736842105263157,gustavo--cruz-v2
iris,naive_bayes,f1_score,v16,16,0.9326599326599326,pablo-v2
iris,naive_bayes,f1_score,v16,16,0.9657142857142856,gustavo--cruz-v2
iris,naive_bayes,f1_score,v17,17,1.0,pablo-v2
iris,naive_bayes,f1_score,v17,17,0.6470588235294118,gustavo--cruz-v2
iris,naive_bayes,f1_score,v18,18,1.0,pablo-v2
iris,naive_bayes,f1_score,v18,18,1.0,gustavo--cruz-v2
iris,naive_bayes,f1_score,v19,19,0.9665831244778612,pablo-v2
iris,naive_bayes,f1_score,v19,19,0.4736842105263157,gustavo--cruz-v2
iris,naive_bayes,f1_score,v20,20,0.9333333333333332,pablo-v2
iris,naive_bayes,f1_score,v20,20,0.9657142857142856,gustavo--cruz-v2
mushroom,naive_bayes,f1_score,v1,1,0.4410728382463369,thalles--barros
mushroom,naive_bayes,f1_score,v2,2,0.5443349753694581,thalles--barros
mushroom,naive_bayes,f1_score,v3,3,0.8572859969011414,thalles--barros
mushroom,naive_bayes,f1_score,v4,4,0.6873464594164855,thalles--barros
mushroom,naive_bayes,f1_score,v5,5,0.9468759508282596,thalles--barros
mushroom,naive_bayes,f1_score,v6,6,0.4410728382463369,thalles--barros
mushroom,naive_bayes,f1_score,v7,7,0.4818391914732158,thalles--barros
mushroom,naive_bayes,f1_score,v8,8,0.8572859969011414,thalles--barros
